,id,title,location,city,price,original_price,discount,m2,hab,floor,air,terrace,storage,elevator,garage,outside,wardrobes,pool,garden,satus,energy,co2
119,102241176,Dúplex en venta en paseo del Taulat,Diagonal Mar i el Front Marítim del Poblenou, Barcelona,2200000,2200000,0,130.0,2.0,Planta 21ª exterior con ascensor,True,True,True,True,True,True,True,True,False,Buen estado,,
120,104657217,Piso en venta en paseo del Taulat,Diagonal Mar i el Front Marítim del Poblenou, Barcelona,990000,990000,0,113.0,3.0,Planta 2ª exterior con ascensor,True,True,True,True,True,True,True,True,False,Buen estado,,
121,105478837,Piso en venta en calle de Finestrat,El Camp de l'Arpa del Clot, Barcelona,260000,260000,0,58.0,1.0,Bajo interior sin ascensor,True,True,False,True,False,False,False,False,False,Buen estado,,
122,105564212,Piso en venta en calle d'Espronceda,El Poblenou, Barcelona,465000,"
480000 €
",0,92.0,3.0,Planta 1ª exterior con ascensor,True,True,False,True,False,True,False,False,False,Buen estado,,
123,104095833,Piso en venta en Diagonal Mar i el Front Marítim del Poblenou,Sant Martí, Barcelona,1150000,1150000,0,139.0,2.0,,True,True,True,True,True,False,False,False,False,Buen estado,,
124,105926784,Piso en venta en El Poblenou,Sant Martí, Barcelona,425000,425000,0,68.0,2.0,Planta 4ª exterior sin ascensor,True,False,False,True,False,True,False,False,False,Buen estado,,
125,105208126,Piso en venta en El Poblenou,Sant Martí, Barcelona,480000,480000,0,92.0,3.0,Planta 1ª con ascensor,False,False,False,True,False,False,False,False,False,Buen estado,163,34.0
126,100723323,Ático en venta en calle de la Industria,El Camp de l'Arpa del Clot, Barcelona,294000,294000,0,42.0,1.0,Planta 8ª exterior con ascensor,False,True,False,True,False,True,True,False,False,Buen estado,,
127,106061170, Chalet adosado en venta en El Clot,Sant Martí, Barcelona,630000,630000,0,214.0,4.0,,True,True,True,False,True,False,True,False,False,Buen estado,,
128,105873148,Piso en venta en calle de Lope de Vega,El Poblenou, Barcelona,445000,445000,0,68.0,2.0,Planta 3ª exterior con ascensor,True,True,False,True,True,True,True,False,False,Buen estado,,
129,105879828,Dúplex en venta en paseo del Taulat,Diagonal Mar i el Front Marítim del Poblenou, Barcelona,2850000,2850000,0,182.0,2.0,Planta 21ª exterior con ascensor,True,True,False,True,True,True,True,True,False,Buen estado,120,
130,105961779,Dúplex en venta en paseo del Taulat,Diagonal Mar i el Front Marítim del Poblenou, Barcelona,2850000,2850000,0,182.0,2.0,,True,True,False,True,False,True,True,False,False,Buen estado,120,
131,105599983,Dúplex en venta en calle de Tortellà,El Poblenou, Barcelona,790000,790000,0,120.0,3.0,Bajo exterior sin ascensor,True,True,False,True,False,True,True,False,False,Buen estado,,
132,106032122,Piso en venta en paseo de Garcia Fària,Diagonal Mar i el Front Marítim del Poblenou, Barcelona,1100000,1100000,0,156.0,3.0,Planta 10ª exterior con ascensor,True,True,False,True,True,True,False,True,False,Buen estado,138,24.0
133,105236139,Piso en venta en calle de Batista,El Poblenou, Barcelona,490000,490000,0,81.0,4.0,Planta 2ª exterior con ascensor,False,False,False,True,False,True,True,False,False,Buen estado,,
134,105566452,Piso en venta en Gran Via de les Corts Catalanes,Provençals del Poblenou, Barcelona,190000,190000,0,59.0,2.0,,False,True,False,True,False,True,False,False,False,Buen estado,,
135,106031548,Dúplex en venta en El Poblenou,Sant Martí, Barcelona,790000,790000,0,120.0,3.0,Bajo exterior sin ascensor,True,False,False,True,False,True,True,False,False,Buen estado,,
136,105369819,Piso en venta en calle de la Selva de Mar,Diagonal Mar i el Front Marítim del Poblenou, Barcelona,1150000,1150000,0,168.0,3.0,Planta 9ª exterior con ascensor,True,True,False,True,True,True,False,False,False,Buen estado,,
137,103784735,Piso en venta en paseo de Maragall,El Camp de l'Arpa del Clot, Barcelona,200000,200000,0,70.0,3.0,Planta 2ª interior sin ascensor,False,False,False,True,False,False,False,False,False,A reformar,240,40.0
138,94063088,Piso en venta en paseo de Garcia Fària,Diagonal Mar i el Front Marítim del Poblenou, Barcelona,1100000,1100000,0,130.0,3.0,Planta 10ª exterior con ascensor,True,True,True,True,True,True,True,True,False,Buen estado,,
139,105639911,Dúplex en venta en paseo del Taulat,Diagonal Mar i el Front Marítim del Poblenou, Barcelona,2850000,2850000,0,170.0,2.0,Planta 21ª exterior con ascensor,True,True,False,True,True,True,True,True,False,Buen estado,,
140,105745222,Piso en venta en calle de las Navas de Tolosa,El Clot, Barcelona,360000,360000,0,81.0,3.0,Planta 2ª exterior con ascensor,True,False,False,True,True,True,False,False,False,Buen estado,999,99.0
141,105735070,Ático en venta en paseo del Taulat,Diagonal Mar i el Front Marítim del Poblenou, Barcelona,2850000,2850000,0,183.0,2.0,,True,False,False,True,True,True,True,True,False,Buen estado,,
142,104220843,Dúplex en venta en paseo del Taulat,Diagonal Mar i el Front Marítim del Poblenou, Barcelona,2500000,2500000,0,153.0,3.0,,True,True,True,True,True,False,True,True,False,Buen estado,,
143,99755279,Dúplex en venta en paseo de Garcia Fària,Diagonal Mar i el Front Marítim del Poblenou, Barcelona,4750000,4750000,0,400.0,3.0,,True,True,True,True,True,True,True,True,False,Buen estado,,
144,105839639,Piso en venta en El Parc i la Llacuna del Poblenou,Sant Martí, Barcelona,340000,340000,0,67.0,3.0,Planta 4ª exterior con ascensor,False,True,False,True,False,True,False,False,False,Buen estado,45,
145,105980051,Piso en venta en calle d'Alfons el Magnànim,El Besòs, Barcelona,105000,105000,0,50.0,2.0,Bajo exterior con ascensor,False,False,False,True,False,True,False,False,False,Buen estado,,
146,105964696,Piso en venta en calle del Clot,El Clot, Barcelona,300000,300000,0,72.0,2.0,Bajo exterior con ascensor,True,False,False,True,False,True,True,False,False,Buen estado,,
147,105943849,Piso en venta en calle del Clot,El Clot, Barcelona,440000,440000,0,138.0,4.0,Planta 2ª exterior con ascensor,False,False,False,True,False,True,True,False,False,A reformar,,
148,105943849,Piso en venta en calle del Clot,El Clot, Barcelona,440000,440000,0,138.0,4.0,Planta 2ª exterior con ascensor,False,False,False,True,False,True,True,False,False,A reformar,,
149,105380874,Piso en venta en calle Passatge de Ratés,El Parc i la Llacuna del Poblenou, Barcelona,188000,188000,0,70.0,1.0,Bajo exterior sin ascensor,True,False,False,True,False,True,True,False,False,Buen estado,,
150,105366899,Piso en venta en paseo de Pujades,El Parc i la Llacuna del Poblenou, Barcelona,590000,590000,0,100.0,4.0,,True,False,False,True,False,True,True,False,False,Buen estado,184,37.0
151,105754250,Piso en venta en calle de Pallars,El Poblenou, Barcelona,256000,256000,0,56.0,2.0,Planta 1ª exterior sin ascensor,False,False,False,True,False,True,False,False,False,Buen estado,,
152,104764459,Piso en venta en calle de València,El Clot, Barcelona,280000,280000,0,62.0,2.0,Planta 1ª exterior sin ascensor,True,True,False,True,False,True,False,False,False,Buen estado,,
153,100335872,Piso en venta en calle de Pujades,El Parc i la Llacuna del Poblenou, Barcelona,380000,380000,0,94.0,3.0,Planta 4ª exterior con ascensor,True,False,False,True,False,True,True,False,False,Buen estado,,
154,101651267,Ático en venta en paseo Taulat,Diagonal Mar i el Front Marítim del Poblenou, Barcelona,2500000,2500000,0,216.0,3.0,Planta 20ª exterior con ascensor,True,True,False,True,True,True,False,True,False,Buen estado,,
155,105324023,Piso en venta en calle del Perelló,Diagonal Mar i el Front Marítim del Poblenou, Barcelona,789000,789000,0,100.0,3.0,Planta 1ª exterior con ascensor,True,True,True,True,True,True,True,True,False,Buen estado,,
156,105915261,Piso en venta en calle de Llull,Diagonal Mar i el Front Marítim del Poblenou, Barcelona,668250,668250,0,89.0,2.0,Planta 16ª exterior con ascensor,True,True,False,True,True,True,True,True,False,Buen estado,134,24.0
157,105106591,Piso en venta en calle de la Selva de Mar,Diagonal Mar i el Front Marítim del Poblenou, Barcelona,1300000,1300000,0,166.0,4.0,Planta 4ª exterior con ascensor,True,True,True,True,False,True,False,True,False,Buen estado,,
158,105451831,Piso en venta en calle de la Selva de Mar,Diagonal Mar i el Front Marítim del Poblenou, Barcelona,895000,895000,0,147.0,3.0,Planta 4ª exterior con ascensor,True,True,True,True,False,True,True,True,False,Buen estado,145,24.0
159,105170479,Piso en venta en rambla del Poblenou,El Poblenou, Barcelona,450000,"
489000 €
",0,90.0,3.0,Planta 6ª exterior con ascensor,False,True,False,True,True,True,True,False,False,Buen estado,123,31.0
160,105970698,Piso en venta en paseo de Garcia Fària,Diagonal Mar i el Front Marítim del Poblenou, Barcelona,919000,"
950000 €
",0,104.0,2.0,Planta 15ª exterior con ascensor,True,True,False,True,True,True,True,True,False,Buen estado,,
161,106084362,"Dúplex en venta en calle del Doctor Trueta, 177",El Poblenou, Barcelona,605000,605000,0,115.0,2.0,Bajo exterior con ascensor,True,False,False,True,False,True,False,False,False,Buen estado,92,23.0
162,104837581,Piso en venta en calle de Roc Boronat,El Poblenou, Barcelona,235000,"
250000 €
",0,62.0,2.0,Planta 1ª interior con ascensor,True,False,False,True,False,False,False,False,False,Buen estado,,
163,106095552,Piso en venta en calle de Lope de Vega,El Poblenou, Barcelona,419000,419000,0,89.0,4.0,,True,False,False,True,False,True,False,False,False,Buen estado,,
164,106090434,Dúplex en venta en plaza Carme Monturiol,El Camp de l'Arpa del Clot, Barcelona,630000,630000,0,160.0,3.0,Planta 3ª exterior con ascensor,True,True,True,True,True,True,True,False,False,Buen estado,,
165,104501457,Piso en venta en rambla del Poblenou,El Poblenou, Barcelona,880000,880000,0,140.0,4.0,Planta 4ª exterior con ascensor,True,True,False,True,False,True,True,True,False,Buen estado,125,26.0
166,106081346,Piso en venta en calle d'Espronceda,El Poblenou, Barcelona,550000,550000,0,134.0,3.0,Planta 1ª exterior con ascensor,True,True,True,True,True,True,True,False,False,Buen estado,,
167,87961708,Piso en venta en calle de Aragón,El Camp de l'Arpa del Clot, Barcelona,235000,235000,0,62.0,2.0,Planta 4ª exterior sin ascensor,True,False,False,True,False,True,False,False,False,Buen estado,148,29.0
168,106081583,Piso en venta en calle de Pallars,Diagonal Mar i el Front Marítim del Poblenou, Barcelona,309000,309000,0,62.0,1.0,Planta 1ª exterior con ascensor,True,False,False,True,False,True,False,False,False,Buen estado,,
169,106094404,Piso en venta en Provençals del Poblenou,Sant Martí, Barcelona,319000,319000,0,74.0,3.0,Planta 7ª exterior con ascensor,False,False,False,True,False,True,False,False,False,Buen estado,191,40.0
170,106091410,Piso en venta en Provençals del Poblenou,Sant Martí, Barcelona,319000,319000,0,74.0,3.0,Planta 7ª exterior con ascensor,False,False,False,True,False,True,False,False,False,Buen estado,191,40.0
