id,title,location,city,price,original_price,discount,m2,rooms,air,terrace,storage,garage,outside,wardrobes,pool,garden,status,satus,has_elevator,property_type,floor_number,price_m2
103598152,Piso en venta en calle del Capità Arenas,Pedralbes,Barcelona,795000.0,795000,0,154.0,6.0,0,1,0,0,1,1,0,0,0,Buen estado,1,2,1.0,5162.337662337663
103646472,"Piso en venta en plaza de los Jardines de Tokio, 3",Pedralbes,Barcelona,2755000.0,2755000,0,273.0,5.0,1,1,0,0,1,1,1,0,0,Nueva,1,2,2.0,10091.575091575092
105736611,Piso en venta en calle de Novell,Les Corts,Barcelona,400000.0,405000,0,60.0,2.0,0,0,0,0,1,0,0,0,0,Buen estado,1,2,3.0,6666.666666666667
105888191,Piso en venta en calle del Cardenal Reig,La Maternitat i Sant Ramon,Barcelona,320000.0,320000,0,89.0,4.0,0,0,0,0,1,1,0,0,0,A reformar,1,2,3.0,3595.505617977528
105973151,Piso en venta en Les Corts,Les Corts,Barcelona,790000.0,790000,0,116.0,3.0,0,1,0,0,1,1,0,0,0,A reformar,1,2,7.0,6810.3448275862065
105421416,Piso en venta en calle del Cardenal Reig,La Maternitat i Sant Ramon,Barcelona,379000.0,379000,0,102.0,4.0,0,0,0,0,1,1,0,0,0,Buen estado,1,2,3.0,3715.6862745098038
102494098,Piso en venta en avenida de Sarrià,Les Corts,Barcelona,1000000.0,1000000,0,172.0,4.0,1,1,0,0,1,0,0,0,0,Buen estado,1,2,3.0,5813.953488372093
102710508,Piso en venta en calle del Capitán Arenas,Pedralbes,Barcelona,795000.0,795000,0,179.0,3.0,0,1,0,0,1,1,0,0,0,Buen estado,1,2,1.0,4441.340782122905
103706571,Piso en venta en calle del Capità Arenas,Pedralbes,Barcelona,795000.0,795000,0,154.0,3.0,0,1,0,0,1,1,0,0,0,Buen estado,1,2,1.0,5162.337662337663
102710508,Piso en venta en calle del Capitán Arenas,Pedralbes,Barcelona,795000.0,795000,0,179.0,3.0,0,1,0,0,1,1,0,0,0,Buen estado,1,2,1.0,4441.340782122905
105309333,Piso en venta en avenida de Sant Ramon Nonat,La Maternitat i Sant Ramon,Barcelona,350000.0,350000,0,90.0,3.0,0,1,0,0,1,1,0,0,0,A reformar,1,2,1.0,3888.8888888888887
101479353,Piso en venta en Gran Vía de Carlos III,La Maternitat i Sant Ramon,Barcelona,310000.0,310000,0,126.0,4.0,0,1,0,0,1,0,0,0,0,Buen estado,1,2,11.0,2460.3174603174602
101969032,Piso en venta en calle del Capità Arenas,Pedralbes,Barcelona,795000.0,795000,0,154.0,3.0,0,1,0,0,1,1,0,0,0,Buen estado,1,2,1.0,5162.337662337663
101479353,Piso en venta en Gran Vía de Carlos III,La Maternitat i Sant Ramon,Barcelona,310000.0,310000,0,126.0,4.0,0,1,0,0,1,0,0,0,0,Buen estado,1,2,11.0,2460.3174603174602
101969032,Piso en venta en calle del Capità Arenas,Pedralbes,Barcelona,795000.0,795000,0,154.0,3.0,0,1,0,0,1,1,0,0,0,Buen estado,1,2,1.0,5162.337662337663
104038132,Piso en venta en Pedralbes,Les Corts,Barcelona,1250000.0,1250000,0,175.0,4.0,0,1,0,1,1,0,0,0,0,Buen estado,1,2,3.0,7142.857142857143
