,id
0,105520255
1,97800187
2,103890711
3,103029464
4,104677476
5,104574509
6,105385620
7,102594562
8,103588952
9,104605440
10,105381042
11,104895169
12,103510732
13,105563120
14,103478853
15,104668060
16,104441263
17,104792633
18,104792340
19,104827409
20,105934208
21,101032255
22,103804004
23,103420819
24,103019026
25,103019256
26,105932245
27,105408396
28,106029058
29,103034780
30,105552605
31,105880539
32,104081359
33,103965114
34,104255296
35,105385514
36,105960937
37,105645580
38,104925054
39,105282974
40,105872599
41,105029368
42,105853370
43,105958039
44,104066922
45,97768568
46,103946158
47,105157654
48,106030920
49,105903028
50,106008169
51,105855313
52,105695420
53,96362253
54,105491245
55,104922731
56,105628375
57,104396322
58,104693370
59,105385351
60,99990899
61,102856487
62,104862414
63,105549840
64,99736872
65,105957679
66,105430531
67,103435255
68,105468783
69,103979513
70,100943254
71,100943285
72,105964880
73,106076973
74,103843759
75,100255138
76,106078467
77,106079583
78,106040303
79,105550488
80,103770616
81,105578726
82,104564469
83,105974908
84,105509631
85,102735608
86,105515708
87,105815713
88,103789747
89,106002620
90,103757720
91,100799488
92,106035557
93,104003854
94,105532111
95,105132986
96,103890887
97,103151728
98,105991242
99,105938851
100,104648714
101,102833365
102,105462855
103,105647746
104,103761599
105,103870964
106,105940429
107,105637933
108,103814777
109,86341501
110,105300338
111,103756899
112,104277646
113,97122287
114,106033585
115,105303955
116,105303795
117,105959600
118,104884593
119,106012488
120,106012488
121,104003125
122,102081332
123,103829829
124,102548552
125,103736426
126,105386178
127,105899319
128,104734778
129,103759391
130,106003724
131,103813498
132,102081471
133,106048004
134,104900409
135,106048893
136,103998897
137,105494152
138,103837996
139,105185022
140,105865416
141,106030529
142,105515798
143,103993176
144,105678083
145,106012127
146,103932400
147,105778020
148,105932723
149,106060089
150,105223039
151,103834863
152,105783247
153,105228628
154,105172368
155,105561276
156,105105570
157,105907719
158,105473901
159,105461840
160,103740553
161,105728422
162,105392737
163,104586962
164,106034703
165,105744873
166,104176860
167,101027559
168,101027555
169,104068208
170,104018354
171,104692852
172,105943917
173,103391224
174,103994552
175,104798556
176,105075259
177,103822176
178,102081329
179,106010622
180,105996829
181,106010622
182,105996800
183,102081329
184,105465399
185,94378668
186,105924790
187,105923837
