,Unnamed: 0.1,Unnamed: 0,id,title,location,city,price,original_price,discount,m2,hab,floor,air,terrace,storage,elevator,garage,outside,wardrobes,pool,garden,satus,energy,co2,status
102,102,102,105563111,Piso en venta en avenida de Madrid,Les Corts,Barcelona,615000.0,615000,0,110.0,4.0,Planta 8ª exterior con ascensor,False,True,False,True,False,True,False,False,False,Buen estado,191,39,
103,103,103,104028555,Piso en venta en travesía de les Corts,Les Corts,Barcelona,550000.0,550000,0,125.0,3.0,Planta 2ª exterior con ascensor,True,False,False,True,True,True,True,False,False,A reformar,,,
104,104,104,103566076,Piso en venta en calle de Manila,Pedralbes,Barcelona,760000.0,760000,0,175.0,5.0,Planta 1ª exterior con ascensor,True,True,False,True,False,True,True,False,False,A reformar,125,,
105,105,105,105884476,Piso en venta en Les Corts,Les Corts,Barcelona,610000.0,610000,0,140.0,5.0,Planta 1ª exterior con ascensor,False,True,False,True,False,True,False,False,False,Buen estado,115,,
106,106,106,105042922,Piso en venta en paseo de Manuel Girona,Pedralbes,Barcelona,1200000.0,1200000,0,184.0,4.0,Planta 5ª exterior con ascensor,True,True,True,True,True,True,True,False,False,Buen estado,,,
107,107,107,104740562,Piso en venta en calle de Loreto,Les Corts,Barcelona,1250000.0,1250000,0,152.0,3.0,Planta 3ª exterior con ascensor,True,False,False,True,False,True,True,False,False,Buen estado,,,
108,108,108,105496346,Piso en venta en plaza Jardins de Toquio,Pedralbes,Barcelona,2000000.0,2000000,0,280.0,5.0,Planta 3ª exterior con ascensor,False,True,True,True,True,True,True,False,False,A reformar,,,
109,109,109,102755186,Piso en venta en travesía de les Corts,La Maternitat i Sant Ramon,Barcelona,360000.0,360000,0,80.0,3.0,Planta 4ª exterior con ascensor,False,False,False,True,False,True,True,False,False,Buen estado,200,42,
110,110,110,88546178,Piso en venta en Pedralbes,Les Corts,Barcelona,2300000.0,2300000,0,350.0,6.0,Planta 1ª exterior con ascensor,True,True,True,True,True,True,True,False,False,Buen estado,108,,
111,111,111,105448503,Piso en venta en avenida Sarrià,Les Corts,Barcelona,1000000.0,1000000,0,122.0,4.0,,False,False,False,True,False,True,False,False,False,Buen estado,,,
112,112,112,105069291, Chalet adosado en venta en calle del Sena,La Maternitat i Sant Ramon,Barcelona,840000.0,840000,0,220.0,4.0,,True,True,True,False,True,False,True,False,False,Buen estado,,,
113,113,113,100140036, Chalet adosado en venta en calle dels Cavallers,Pedralbes,Barcelona,4100000.0,4100000,0,694.0,7.0,,True,True,True,False,True,False,True,True,False,Buen estado,,,
114,114,114,105359548,Piso en venta en Pedralbes,Les Corts,Barcelona,2850000.0,2850000,0,421.0,5.0,Planta 2ª exterior con ascensor,True,False,False,True,True,True,True,False,False,Buen estado,,,
115,115,115,105217312,Piso en venta en Jardí de Tòquio,Pedralbes,Barcelona,2000000.0,2000000,0,280.0,5.0,Planta 3ª exterior con ascensor,True,True,False,True,True,True,True,False,False,A reformar,,,
116,116,116,104555371,Piso en venta en avenida de Josep Tarradellas,Les Corts,Barcelona,950000.0,950000,0,180.0,4.0,Planta 2ª exterior con ascensor,True,False,False,True,False,True,False,False,False,A reformar,,,
117,117,117,105469900,Piso en venta en Gran Via de Carles III,Les Corts,Barcelona,335000.0,335000,0,71.0,3.0,Bajo interior sin ascensor,False,False,False,True,False,False,False,False,False,Buen estado,,,
118,118,118,105307124,Piso en venta en calle de Berlín,Les Corts,Barcelona,360000.0,360000,0,80.0,3.0,,False,True,False,True,False,True,True,False,False,A reformar,,,
