,id,title,location,city,price,original_price,discount,m2,hab,floor,air,terrace,storage,elevator,garage,outside,wardrobes,pool,garden,satus,energy,co2,status
724,105052516,Piso en venta en calle de Travau,Can Peguera - El Turó de la Peira, Barcelona,187000,187000,0,68,3.0,Planta 3ª con ascensor,False,False,False,True,False,False,False,False,False,Buen estado,,,
725,104376340,Piso en venta en calle Horitzontal,Porta, Barcelona,350000,350000,0,170,4.0,Bajo exterior con ascensor,False,False,True,True,False,True,False,False,False,Buen estado,,,
726,102134571,Piso en venta en calle de les Agudes,Ciutat Meridiana - Torre Baró - Vallbona, Barcelona,53400,53400,0,57,2.0,,False,False,False,True,False,False,False,False,False,Buen estado,,,
727,104973714,Piso en venta en calle de Travau,Can Peguera - El Turó de la Peira, Barcelona,187000,187000,0,68,3.0,Planta 3ª exterior con ascensor,True,False,False,True,False,True,True,False,False,Buen estado,,,
728,104891843,Piso en venta en calle de Vèlia,Porta, Barcelona,128900,128900,0,72,3.0,Planta 2ª con ascensor,False,False,False,True,False,False,False,False,False,Buen estado,,,
729,102965209,Piso en venta en calle de Llobera,Les Roquetes, Barcelona,68900,68900,0,55,2.0,,False,False,False,True,False,False,False,False,False,Buen estado,,,
730,105589661,Piso en venta en paseo de Valldaura,Porta, Barcelona,80000,80000,0,55,1.0,Bajo exterior con ascensor,False,False,False,True,False,True,False,False,False,A reformar,,,
731,105504951,Piso en venta en calle del Turó de les Roquetes,Les Roquetes, Barcelona,102000,102000,0,68,2.0,Bajo sin ascensor,False,False,False,True,False,False,False,False,False,Buen estado,,,
732,105232274, Finca rústica en venta en La Prosperitat,Nou Barris, Barcelona,321000,321000,0,135,2.0,,False,True,False,False,False,False,False,False,False,Buen estado,,,
733,105270988, Finca rústica en venta en La Prosperitat,Nou Barris, Barcelona,321000,321000,0,135,2.0,,False,True,False,False,False,False,False,False,False,Buen estado,,,
734,105697820,Piso en venta en calle de Miguel Hernández,Canyelles, Barcelona,99000,99000,0,50,2.0,,True,False,False,True,False,True,False,False,False,Buen estado,,,
735,105466569,Piso en venta en calle d'Almagro,Verdun, Barcelona,157000,157000,0,43,2.0,Planta 1ª sin ascensor,False,False,False,True,False,False,False,False,False,Buen estado,,,
736,105377072,Piso en venta en calle de les Agudes,Ciutat Meridiana - Torre Baró - Vallbona, Barcelona,62400,62400,0,60,2.0,Bajo sin ascensor,False,False,False,True,False,False,False,False,False,Buen estado,,,
737,104913802,Piso en venta en paseo de Valldaura,La Guineueta, Barcelona,131800,131800,0,67,3.0,Planta 1ª con ascensor,False,False,False,True,False,False,False,False,False,Buen estado,,,
738,90137798,Piso en venta en calle de Casals i Cuberó,Verdun, Barcelona,191000,191000,0,95,2.0,Bajo con ascensor,False,False,False,True,False,False,False,False,False,Buen estado,,,
739,104913322,Piso en venta en calle de les Agudes,Ciutat Meridiana - Torre Baró - Vallbona, Barcelona,80800,80800,0,57,1.0,Planta 5ª sin ascensor,False,False,False,True,False,False,False,False,False,Buen estado,,,
740,104825548,Piso en venta en calle d'Almansa,Verdun, Barcelona,57700,57700,0,38,2.0,Planta 1ª sin ascensor,False,False,False,True,False,False,False,False,False,Buen estado,,,
741,104891538,Piso en venta en calle d'Almansa,Verdun, Barcelona,57700,57700,0,38,2.0,Planta 1ª sin ascensor,False,False,False,True,False,False,False,False,False,Buen estado,,,
742,105376963,Piso en venta en calle del Pedraforca,Ciutat Meridiana - Torre Baró - Vallbona, Barcelona,73400,73400,0,60,2.0,Planta 4ª sin ascensor,False,False,False,True,False,False,False,False,False,Buen estado,,,
743,104637479, Chalet adosado en venta en calle de Llobera,Les Roquetes, Barcelona,114000,"
126000 €
",0,195,3.0,,False,False,False,False,False,False,False,False,False,Buen estado,,,
744,105504906,Piso en venta en calle d'Aiguablava,La Trinitat Nova, Barcelona,58800,58800,0,45,2.0,Planta 3ª sin ascensor,False,False,False,True,False,False,False,False,False,Buen estado,,,
745,105051714,Piso en venta en calle de Romaní,Les Roquetes, Barcelona,62000,62000,0,47,3.0,Planta 2ª sin ascensor,False,False,False,True,False,False,False,False,False,Buen estado,,,
746,105052116,Piso en venta en calle del Vinyar,La Prosperitat, Barcelona,111900,111900,0,76,3.0,Bajo sin ascensor,False,False,False,True,False,False,False,False,False,Buen estado,,,
747,105505251,Piso en venta en avenida dels Rasos de Peguera,Ciutat Meridiana - Torre Baró - Vallbona, Barcelona,57700,57700,0,70,3.0,Planta 5ª sin ascensor,False,False,False,True,False,False,False,False,False,Buen estado,,,
