id,title,location,city,price,original_price,discount,m2,rooms,air,terrace,storage,garage,outside,wardrobes,pool,garden,status,satus,has_elevator,property_type,floor_number,price_m2,cluster
105276471,Piso en venta en calle de Sant Pere Més Alt,Sant,Pere,760000.0,760000,0,127.0,2.0,1,0,0,0,1,1,0,0,0,,0,2,2.0,5984.251968503937,0
104711243,Piso en venta en plaza Comercial,Sant,Pere,319000.0,319000,0,80.0,2.0,0,0,0,0,1,0,0,0,0,,0,2,5.0,3987.5,2
100593458,Piso en venta en calle de Valldonzella,El,"Raval,",485000.0,485000,0,76.0,2.0,1,1,1,0,1,0,0,0,0,,1,2,2.0,6381.578947368421,0
103893847,Piso en venta en calle de Sant Pere Més Alt,Sant,Pere,1165000.0,1165000,0,285.0,5.0,1,1,0,0,1,0,0,0,0,,1,2,2.0,4087.719298245614,0
102805038,Piso en venta en calle dels Sagristans,El,"Gòtic,",395000.0,405000,0,97.0,2.0,1,0,0,0,1,1,0,0,0,,0,2,3.0,4072.164948453608,0
100651762,Piso en venta en calle de Sant Pau,El,"Raval,",530000.0,530000,0,103.0,2.0,1,1,1,0,1,0,0,0,0,,0,2,1.0,5145.631067961165,0
103866402,Piso en venta en calle del Bonsuccés,El,"Raval,",725000.0,725000,0,157.0,3.0,1,1,0,0,1,0,0,0,0,,1,2,1.0,4617.834394904458,0
104757389,Piso en venta en calle del Notariat,El,"Raval,",890000.0,890000,0,173.0,5.0,0,1,0,0,1,0,0,0,0,,1,2,1.0,5144.508670520231,2
105637303,Piso en venta en calle de Trafalgar,Sant,Pere,2780000.0,2780000,0,356.0,4.0,1,1,0,0,0,1,0,0,0,,1,1,1.0,7808.988764044944,0
105716797,Piso en venta en plaza de les Olles,Sant,Pere,1295000.0,1295000,0,153.0,3.0,0,1,0,0,1,0,0,0,0,,1,2,1.0,8464.052287581699,2
102540499,Piso en venta en El Gòtic,Ciutat,"Vella,",1335000.0,1335000,0,181.0,3.0,1,0,0,0,1,0,0,0,0,,1,2,1.0,7375.690607734807,0
104962438,Piso en venta en calle de les Jonqueres,Sant,Pere,290000.0,290000,0,74.0,2.0,0,0,1,0,0,0,0,0,0,,0,1,1.0,3918.918918918919,3
105329353,Ático en venta en calle de Santa Anna,El,"Gòtic,",1175000.0,1250000,0,228.0,4.0,1,1,1,0,1,1,0,0,0,,0,0,2.0,5153.508771929824,1
103517764,Piso en venta en calle d'Avinyó,El,"Gòtic,",695000.0,695000,0,156.0,3.0,0,1,0,0,1,1,0,0,0,,1,2,1.0,4455.128205128205,0
102114837,Ático en venta en calle de la Riereta,El,"Raval,",525000.0,525000,0,93.0,2.0,1,1,0,0,1,1,1,0,0,,1,2,4.0,5645.1612903225805,0
103518528,Piso en venta en calle de la Boqueria,El,"Gòtic,",895000.0,895000,0,159.0,2.0,0,0,0,0,1,0,0,0,0,,1,2,2.0,5628.930817610063,2
101512125,Piso en venta en rambla La,El,"Raval,",315000.0,315000,0,80.0,1.0,1,0,0,0,1,1,0,0,0,,1,2,3.0,3937.5,0
105321411,Piso en venta en calle dels Mercaders,Sant,Pere,920000.0,920000,0,168.0,2.0,1,0,0,0,1,1,0,0,0,,1,2,2.0,5476.190476190476,0
