,Unnamed: 0,id
0,0,101087741
1,1,105373015
2,2,104595697
3,3,105032000
4,4,105397042
5,5,104693369
6,6,104904205
7,7,104353425
8,8,105462001
9,9,105265291
10,10,105581227
11,11,105492375
12,12,104079678
13,13,88129785
14,14,103695098
15,15,103695126
16,16,105526356
17,17,104800129
18,18,105614402
19,19,105473656
20,20,99973723
21,21,105829939
22,22,105831525
23,23,105831431
24,24,104579410
25,25,105281804
26,26,104220826
27,27,105354773
28,28,104090705
29,29,105328328
30,30,105328328
31,31,104440203
32,32,105578060
33,33,103919556
34,34,105615741
35,35,105468180
36,36,104956928
37,37,105657519
38,38,100144109
39,39,103317822
40,40,105553103
41,41,105332383
42,42,105332396
43,43,104398297
44,44,103694202
45,45,105065469
46,46,105863468
47,47,105462432
48,48,104544441
49,49,105329197
50,50,105657002
51,51,102904755
52,52,105313143
53,53,105448917
54,54,105497660
55,55,104869945
56,56,104916336
57,57,104982760
58,58,105667083
59,59,105032322
60,60,105567860
61,61,104001463
62,62,105843579
63,63,105562625
64,64,105579686
65,65,105935779
66,66,105728616
67,67,103424426
68,68,104727319
69,69,105709451
70,70,104912864
71,71,104943900
72,72,105105841
73,73,105976476
74,74,105325708
75,75,105625320
76,76,105880487
77,77,105717609
78,78,105988100
79,79,105705326
80,80,105845124
81,81,105865776
82,82,105250348
83,83,105271393
84,84,105643430
85,85,104786063
86,86,105620742
87,87,105049373
88,88,105779767
89,89,103623864
90,90,103925623
91,91,105692210
92,92,104967954
93,93,105276361
94,94,105149317
95,95,105487859
96,96,105591229
97,97,105575141
98,98,102521492
99,99,105488275
100,100,101092471
101,101,105648263
102,102,105570493
103,103,101210899
104,104,105707315
105,105,105688208
106,106,105755847
107,107,104574465
108,108,105819809
109,109,105528562
110,110,104320820
111,111,105874169
112,112,105075850
113,113,104798452
114,114,105519826
115,115,105866271
116,116,105692648
117,117,105520123
118,118,105188290
119,119,105776080
120,120,104669281
121,121,104379532
122,122,105717592
123,123,105676184
124,124,105259573
125,125,105453504
126,126,105711066
127,127,104830669
128,128,105391427
129,129,101145578
130,130,105552280
131,131,104765373
132,132,101423471
133,133,101083434
134,134,99915207
135,135,105469135
136,136,105650625
137,137,105987715
138,138,105592755
139,139,105443981
140,140,106000229
141,141,105837873
142,142,105885329
143,143,106002617
144,144,105531016
145,145,105352476
146,146,105672579
147,147,104160527
148,148,105384667
149,149,105057814
150,150,103626287
151,151,103454261
152,152,105182092
153,153,105974603
154,154,105958262
155,155,103950127
156,156,106006561
157,157,106004608
158,158,106005355
159,159,103831742
160,160,105526330
161,161,105526353
162,162,105960040
163,163,106006276
164,164,104387836
165,165,106006859
166,166,106006304
167,167,105153082
168,168,106006324
169,169,106006649
170,170,104418603
171,171,105667255
172,172,105520268
173,173,106007982
174,174,105048889
175,175,105666993
176,176,105956844
177,177,106004349
178,178,105733910
179,179,105682745
180,180,105999055
181,181,106006170
182,182,106006486
183,183,105425563
184,184,102960519
185,185,106006560
186,186,105628148
187,187,105688175
188,188,105774472
189,189,105775974
190,190,105587973
191,191,104078362
192,192,104767545
193,193,105137218
194,194,104777879
195,195,105667015
196,196,83879042
197,197,104247530
198,198,105728721
199,199,105735919
200,200,105869936
201,201,105663850
202,202,104823852
203,203,105799132
204,204,105108306
205,205,105959607
206,206,105918982
207,207,105840285
208,208,105943993
209,209,104150039
210,210,105750363
211,211,105918982
212,212,105840285
213,213,105108306
214,214,105792183
215,215,105503006
216,216,105703072
217,217,105216817
218,218,105961327
219,219,105727388
220,220,102634883
221,221,105831140
222,222,105678048
223,223,104653268
224,224,105171978
225,225,105369117
226,226,105976456
227,227,103843150
228,228,105148906
229,229,104601974
230,230,104970581
231,231,105474934
232,232,103929336
233,233,102199118
234,234,105462667
235,235,105976742
236,236,105266693
237,237,103757903
238,238,105659481
